name|cols
----|----
Запрос_Клиента|185
Запрос_План|299
ЗаявкаНаПеревозку|82
Контейнер|224
Разнарядка_Местоположение|45
Рейс|63
name|column_id|name
----|---------|----
Запрос_План|283|ОтслеживатьЖД
Запрос_План|284|ВСоставе
Запрос_План|285|СрокКотирования
Запрос_План|286|ID_СрокКотирования
Запрос_План|287|ПричинаУвеличенияСрока
Запрос_План|288|ID_Факт_Поставщик
Запрос_План|289|ЦенаР
Запрос_План|290|ЦенаД
Запрос_План|291|ДокументыСкачаныВПортале
Запрос_План|292|Потребность
Запрос_План|293|ID_НасПунктСдачи
Запрос_План|294|ID_ПринадлежностьКонта
Запрос_План|295|ЕстьПерегрузка
Запрос_План|296|ID_ПунктПерегрузки
Запрос_План|297|КонтактныеДанныеОтпр
Запрос_План|298|КонтактныеДанныеНазн
Запрос_План|299|УсловиеПеревозки
name|column_id|name
----|---------|----
Разнарядка_Местоположение|1|ID
Разнарядка_Местоположение|2|Дата
Разнарядка_Местоположение|3|ID_Операция
Разнарядка_Местоположение|4|ID_НасПункт
Разнарядка_Местоположение|5|ID_Место
Разнарядка_Местоположение|6|Заметки
Разнарядка_Местоположение|7|Координаты_Долгота
Разнарядка_Местоположение|8|Координаты_Широта
Разнарядка_Местоположение|9|Координаты_Высота
Разнарядка_Местоположение|10|CurUser
Разнарядка_Местоположение|11|CurTime
Разнарядка_Местоположение|12|CurEditUser
Разнарядка_Местоположение|13|CurEditTime
Разнарядка_Местоположение|14|ID_Разнарядка
Разнарядка_Местоположение|15|ОстатокГСМ
name
----
ВидЗависимостиРазнарядка
Маршрутизация_разнарядок
Маршрутизация_разнарядок_БП
Маршрутизация_разнарядок_Набл
Маршрутизация_разнарядок_Парам
Маршрутизация_разнарядок_ПФ
ПолеИзРазнарядки
Разнарядка_Местоположение
Разнарядка_Параметры
Разнарядка_Параметры_Значения
