name|exists_flag
----|-----------
Предварительный_расчет|1
Предварительный_расчет_Товары|1
Предварительный_расчет_Услуги|1
Расчет_ТП|1
Расчет_ТП_Строка|1
Декларация|1
ГТД_Груз|1
Контейнер_Расчет|1
Контейнер_Расчет_Суммы|1
table_name|column_id|column_name|type_name
Расчет_ТП_Строка|4|ID_Код_ТНВЭД|int
Расчет_ТП_Строка|5|Стоимость_кг|float
Расчет_ТП_Строка|6|Стоимость_Фрахт_кг|float
Расчет_ТП_Строка|7|Стоимость_Там_кг|float
Расчет_ТП_Строка|8|Стоимость_Там_поз|float
Расчет_ТП_Строка|9|Пошлина_Адвалорная|float
Расчет_ТП_Строка|10|Пошлина_Спец|float
Расчет_ТП_Строка|11|Пошлина_Комбин|bit
Расчет_ТП_Строка|12|Сбор|float
Расчет_ТП_Строка|13|НДС|float
Расчет_ТП_Строка|14|Расч_Пошлина|float
Расчет_ТП_Строка|15|Расч_Спецпошлина|float
Расчет_ТП_Строка|16|Расч_НДС|float
Расчет_ТП_Строка|17|Сбор_Док|float
Расчет_ТП_Строка|18|Расч_Там_Платежи|float
Расчет_ТП_Строка|19|CurUser|nvarchar
Расчет_ТП_Строка|20|CurTime|smalldatetime
Расчет_ТП_Строка|21|CurEditUser|nvarchar
Расчет_ТП_Строка|22|CurEditTime|smalldatetime
Расчет_ТП_Строка|23|Стоимость_Там_поз_РУБ|float
Расчет_ТП_Строка|24|ID_Товар|int
Расчет_ТП_Строка|25|Пошлина_Антидемпинг|float
Расчет_ТП_Строка|26|Расч_Антидемпинг|float
name
----
User_EDO
ОператорЭДО
ЭДО
ЭДО_Действие
ЭДО_Каталог
ЭДО_Направление
ЭДО_Сервис
ЭДО_СтатусИмпорта
ЭДО_ТипДокумента
ROUTINE_NAME
------------
custom_proc_DeleteCustomSums
custom_proc_ExportPlat1C
custom_proc_InsertCustomSums
custom_proc_SelectCustomSums
HTTP_REQUEST
proc_AutoPrivyazkaPlatezhGTD
proc_CalcCreditPotreb
proc_Chat_SetPrinechanieProchitanoFirstTime
proc_CheckCustomsStatusDates
proc_CheckGTD_IsSame
proc_CloseFinishedOrders
proc_ContGTDSinc
proc_Create_Outcome_Customs
proc_CreateAccOnGTD
proc_CreateContFromGTDInOrder
proc_Custom_Import_From_1CUTP_Ans
proc_Custom_Import_From_IRIS_ZNOFactPay
proc_Custom_Report_Customs_Exp
proc_Custom_Report_Customs_Imp
proc_Custom_Report_ORTP
proc_Custom_Report_SA_OPTO_RPTP
proc_Delete_GTD_XML_Data
proc_DistribGTDSync
proc_DistributionsJournal_GetPerson
proc_EDO_Link_Cont
proc_EDO_Link_Cont_AI
proc_EDO_Parse_Contur_UTD
proc_EDO_Parse_Entera
proc_EDO_Preview
proc_Event_GTD
